Time: 2026-01-12 07:32:12 UTC | Period: #22 | Runtime: 105 minutes

BTC: 91845.90 (1h: -0.02%, 4h: -0.37%) | MACD: -63.8896 | RSI: 51.00

Account: Equity 99.86 | Balance 100.00 (100.1%) | PnL +0.00% | Margin 0.0% | Positions 0

Current Positions: None

## Candidate Coins (3 coins)

### 1. SOLUSDT (Manual selection)

=== SOLUSDT Market Data ===

current_price = 141.9500, current_ema20 = 142.238, current_macd = -0.203, current_rsi7 = 39.705

Additional data for SOLUSDT:

Funding Rate: 1.00e-04

=== 5M Timeframe (oldest → latest) ===

Time(UTC)      Open      High      Low       Close     Volume
RSI14: [42.9851, 40.6338, 44.4514, 43.1701, 63.2156, 68.2531, 68.1009, 68.4793, 56.1426, 57.0154, 54.9229, 52.7095, 53.8868, 53.3150, 45.6256, 47.4249, 48.1357, 45.2374, 43.3221, 48.6311, 48.2021, 52.4211, 51.7724, 48.5378, 45.7665, 44.1090, 44.8906, 45.7082, 50.8161, 54.6998, 53.0591, 55.0554, 56.5041, 59.3278, 59.3278, 58.5020, 55.7177, 60.5682, 57.4615, 53.4364, 53.1690, 49.6881, 45.4936, 42.7502, 37.8361, 52.8989, 45.4402, 40.8300, 37.5740, 36.0917, 28.7601, 27.9270, 31.4891, 34.7314, 36.3533, 33.1819, 40.7520, 39.8930, 41.8722, 35.9270, 34.9103, 39.0873, 41.9831, 41.9831, 44.5691, 43.6174, 39.4449, 41.5397, 46.5206, 53.7368, 51.7464, 40.8760, 36.7222, 39.7968, 37.4192, 49.7747, 49.2910, 52.1299, 46.8168, 51.0171, 51.5120, 46.6097, 46.6097, 39.9239, 50.5204, 57.9790, 65.3749, 57.3968, 58.3911, 57.2402, 55.0493, 59.5009, 59.5009, 62.5147, 61.9825, 54.3430, 50.9609, 53.9153, 64.8118, 67.2722, 67.7423, 61.9887, 62.8384, 60.5700, 63.1296, 63.6380, 70.4770, 71.3692, 68.9387, 70.6760, 69.2849, 69.3776, 72.9794, 57.2405, 61.6445, 61.4895, 59.5542, 58.8889, 55.5475, 60.3885, 62.3743, 64.8023, 68.5977, 61.7820, 64.2954, 59.7269, 61.3692, 61.9265, 66.0418, 66.0418, 65.4110, 66.8869, 69.9656, 78.5016, 72.1636, 72.7382, 68.7275, 64.3598, 59.4439, 56.5564, 56.9319, 57.5898, 51.4906, 52.3955, 55.6616, 56.2493, 58.3312, 52.9085, 51.2590, 56.4570, 56.4570, 55.5975, 57.1773, 53.7451, 51.1023, 49.7842, 53.0450, 49.7949, 52.6934, 54.6457, 56.1610, 59.1040, 53.5712, 50.7569, 48.9930, 50.5784, 50.5784, 51.1651, 60.0943, 60.5384, 56.4778, 49.8732, 41.1562, 38.6032, 34.0535, 38.5530, 36.7526, 32.9423, 36.3415, 42.0895, 45.5322, 43.1924, 36.7256, 37.8704, 41.3018, 40.4988]
ATR14: 0.2755
BOLL Upper: [140.1006, 140.4634, 140.8054, 140.9304, 141.0545, 141.1444, 141.2043, 141.2721, 141.3262, 141.3306, 141.3094, 141.2350, 141.1577, 141.1131, 141.0951, 141.0675, 141.0159, 140.9731, 140.9013, 140.8671, 140.6926, 140.4770, 140.1710, 140.0973, 140.0096, 139.9461, 139.9335, 139.9132, 139.9406, 140.0175, 140.0784, 140.1145, 140.1858, 140.2076, 140.2259, 140.2392, 140.2397, 140.2375, 140.2390, 140.2496, 140.2340, 140.2131, 140.2331, 140.3071, 140.3701, 140.5425, 140.6517, 140.6806, 140.6442, 140.5807, 140.5223, 140.4379, 140.2934, 140.1474, 140.0290, 139.8914, 139.7464, 139.6155, 139.4936, 139.4108, 139.1237, 138.9095, 138.7479, 138.6457, 138.6426, 138.6973, 138.6929, 138.7370, 138.7472, 138.7658, 138.7797, 138.7675, 138.7833, 138.7573, 138.7788, 138.7979, 138.7981, 138.7939, 138.8134, 138.8084, 138.9104, 139.2305, 139.3368, 139.4459, 139.5051, 139.5455, 139.6672, 139.7492, 139.8768, 139.9502, 139.9849, 139.9930, 140.0208, 140.2117, 140.4580, 140.6765, 140.7625, 140.8339, 140.7605, 140.7914, 140.8732, 141.1338, 141.3739, 141.5483, 141.7308, 141.8491, 141.9721, 142.1475, 142.1776, 142.2461, 142.2386, 142.1208, 141.9660, 141.9473, 141.9814, 142.0356, 142.0790, 142.1954, 142.1681, 142.1987, 142.1507, 142.2070, 142.2662, 142.3978, 142.5120, 142.6049, 142.7110, 142.8600, 143.2882, 143.5509, 143.7863, 143.9296, 143.9975, 143.9729, 143.9545, 143.9408, 143.9395, 143.9382, 143.9114, 143.9070, 143.8685, 143.8419, 143.7979, 143.7900, 143.7834, 143.7698, 143.7614, 143.7647, 143.5760, 143.4571, 143.2789, 143.1303, 143.0376, 143.0145, 143.0218, 143.0365, 143.0742, 143.0640, 143.0508, 143.0519, 143.0497, 143.0301, 143.0291, 143.0733, 143.1172, 143.1320, 143.1289, 143.1461, 143.1875, 143.2687, 143.3003, 143.3297, 143.3881, 143.4046, 143.3853, 143.3468, 143.2811, 143.2631, 143.2441, 143.2182, 143.1798]
BOLL Middle: [138.7530, 138.8380, 138.9485, 139.0225, 139.1090, 139.1720, 139.2165, 139.2750, 139.3390, 139.3745, 139.4385, 139.5215, 139.5830, 139.6185, 139.6535, 139.6890, 139.7475, 139.7935, 139.8340, 139.7865, 139.7005, 139.6170, 139.5330, 139.5050, 139.4835, 139.4660, 139.4625, 139.4580, 139.4635, 139.4985, 139.5255, 139.5450, 139.5875, 139.6320, 139.6520, 139.6730, 139.6735, 139.6675, 139.6655, 139.6605, 139.6920, 139.7020, 139.6955, 139.6645, 139.6170, 139.5405, 139.4540, 139.3710, 139.2870, 139.2065, 139.1150, 139.0455, 138.9610, 138.8865, 138.7985, 138.7070, 138.6310, 138.5700, 138.5150, 138.4775, 138.4065, 138.3435, 138.2990, 138.2760, 138.2755, 138.3035, 138.3060, 138.2860, 138.2660, 138.2340, 138.2470, 138.2415, 138.2475, 138.2330, 138.2520, 138.2765, 138.2775, 138.2720, 138.2445, 138.2420, 138.2705, 138.3480, 138.3940, 138.4350, 138.4550, 138.4720, 138.5390, 138.6210, 138.7100, 138.8060, 138.8465, 138.8770, 138.9100, 139.0115, 139.1160, 139.2220, 139.3245, 139.4315, 139.5535, 139.6575, 139.7355, 139.8150, 139.9280, 140.0295, 140.1455, 140.2655, 140.3660, 140.4870, 140.5495, 140.6355, 140.7440, 140.8580, 140.9590, 140.9975, 141.0405, 141.0895, 141.1680, 141.2620, 141.3440, 141.4260, 141.4920, 141.5265, 141.5575, 141.6145, 141.6610, 141.7095, 141.7640, 141.8125, 141.9630, 142.0750, 142.1915, 142.3035, 142.4055, 142.5030, 142.5715, 142.6325, 142.6845, 142.6985, 142.7345, 142.7690, 142.8190, 142.8685, 142.9015, 142.9105, 142.9355, 142.9620, 142.9800, 142.9880, 142.9310, 142.8845, 142.8310, 142.7955, 142.7650, 142.7555, 142.7595, 142.7655, 142.7760, 142.7945, 142.8045, 142.8000, 142.7965, 142.7860, 142.7905, 142.8170, 142.8285, 142.8340, 142.8305, 142.8040, 142.7785, 142.7460, 142.7240, 142.6895, 142.6505, 142.6105, 142.5760, 142.5445, 142.5005, 142.4490, 142.4050, 142.3705, 142.3310]
BOLL Lower: [137.4054, 137.2126, 137.0916, 137.1146, 137.1635, 137.1996, 137.2287, 137.2779, 137.3518, 137.4184, 137.5676, 137.8080, 138.0083, 138.1239, 138.2119, 138.3105, 138.4791, 138.6139, 138.7667, 138.7059, 138.7084, 138.7570, 138.8950, 138.9127, 138.9574, 138.9859, 138.9915, 139.0028, 138.9864, 138.9795, 138.9726, 138.9755, 138.9892, 139.0564, 139.0781, 139.1068, 139.1073, 139.0975, 139.0920, 139.0714, 139.1500, 139.1909, 139.1579, 139.0219, 138.8639, 138.5385, 138.2563, 138.0614, 137.9298, 137.8323, 137.7077, 137.6531, 137.6286, 137.6256, 137.5680, 137.5226, 137.5156, 137.5245, 137.5364, 137.5442, 137.6893, 137.7775, 137.8501, 137.9063, 137.9084, 137.9097, 137.9191, 137.8350, 137.7848, 137.7022, 137.7143, 137.7155, 137.7117, 137.7087, 137.7252, 137.7551, 137.7569, 137.7501, 137.6756, 137.6756, 137.6306, 137.4655, 137.4512, 137.4241, 137.4049, 137.3985, 137.4108, 137.4928, 137.5432, 137.6618, 137.7081, 137.7610, 137.7992, 137.8113, 137.7740, 137.7675, 137.8865, 138.0291, 138.3465, 138.5236, 138.5978, 138.4962, 138.4821, 138.5107, 138.5602, 138.6819, 138.7599, 138.8265, 138.9214, 139.0249, 139.2494, 139.5952, 139.9520, 140.0477, 140.0996, 140.1434, 140.2570, 140.3286, 140.5199, 140.6533, 140.8333, 140.8460, 140.8488, 140.8312, 140.8100, 140.8141, 140.8170, 140.7650, 140.6378, 140.5991, 140.5967, 140.6774, 140.8135, 141.0331, 141.1885, 141.3242, 141.4295, 141.4588, 141.5576, 141.6310, 141.7695, 141.8951, 142.0051, 142.0310, 142.0876, 142.1542, 142.1986, 142.2113, 142.2860, 142.3119, 142.3831, 142.4607, 142.4924, 142.4965, 142.4972, 142.4945, 142.4778, 142.5250, 142.5582, 142.5481, 142.5433, 142.5419, 142.5519, 142.5607, 142.5398, 142.5360, 142.5321, 142.4619, 142.3695, 142.2233, 142.1477, 142.0493, 141.9129, 141.8164, 141.7667, 141.7422, 141.7199, 141.6349, 141.5659, 141.5228, 141.4822]

=== 1H Timeframe (oldest → latest) ===

Time(UTC)      Open      High      Low       Close     Volume
01-04 00:00    133.3000  135.0000  133.2600  134.4900  1236862.96  
01-04 01:00    134.4900  134.7000  133.3500  133.9000  744193.79   
01-04 02:00    133.9000  133.9600  133.4000  133.6500  320167.44   
01-04 03:00    133.6500  134.6700  133.5900  134.5600  626404.16   
01-04 04:00    134.5500  134.8000  134.1600  134.2300  460518.43   
01-04 05:00    134.2400  134.5500  134.2000  134.5000  211682.37   
01-04 06:00    134.5000  134.9700  133.6200  133.7100  789668.86   
01-04 07:00    133.7100  134.0800  133.5200  133.7500  427507.06   
01-04 08:00    133.7500  134.1200  133.1000  134.0500  678957.10   
01-04 09:00    134.0400  134.5400  133.7800  134.2700  508454.30   
01-04 10:00    134.2600  134.8200  134.1600  134.6200  568360.49   
01-04 11:00    134.6200  134.6200  134.0800  134.3200  379114.16   
01-04 12:00    134.3300  134.8400  134.1200  134.2700  492906.64   
01-04 13:00    134.2700  134.4900  133.6700  134.4700  515555.02   
01-04 14:00    134.4600  134.9300  134.1500  134.9000  674019.84   
01-04 15:00    134.8900  135.3200  134.2100  134.8300  853379.15   
01-04 16:00    134.8300  135.5000  134.6800  135.0600  656174.88   
01-04 17:00    135.0600  135.3100  134.7400  134.7700  355115.90   
01-04 18:00    134.7700  134.8200  133.6200  134.1300  742888.32   
01-04 19:00    134.1300  134.1400  133.0300  133.5100  851531.36   
01-04 20:00    133.5100  134.2000  133.3200  133.9700  379007.96   
01-04 21:00    133.9700  134.5400  133.6400  133.8700  345294.69   
01-04 22:00    133.8600  134.3800  133.7200  134.1000  241727.92   
01-04 23:00    134.1000  134.8100  133.5800  134.0400  639294.24   
01-05 00:00    134.0500  135.7900  133.9300  135.4900  1482335.29  
01-05 01:00    135.4900  137.7500  135.2300  136.6900  2215208.49  
01-05 02:00    136.7000  137.1800  135.6200  136.8100  993659.76   
01-05 03:00    136.8200  137.2900  136.5100  136.5800  740045.42   
01-05 04:00    136.5800  136.7400  134.8800  135.6300  1177157.63  
01-05 05:00    135.6200  136.2800  134.9200  134.9800  749822.93   
01-05 06:00    134.9800  135.6400  134.5400  135.5300  815122.36   
01-05 07:00    135.5400  135.6800  135.0200  135.3400  494825.29   
01-05 08:00    135.3400  135.8900  135.1100  135.1300  532535.55   
01-05 09:00    135.1300  135.6000  134.6300  135.3700  574230.16   
01-05 10:00    135.3800  135.9700  135.2000  135.7400  509091.14   
01-05 11:00    135.7500  135.7500  135.1600  135.6800  618404.19   
01-05 12:00    135.6900  135.7500  134.8100  135.0400  497505.00   
01-05 13:00    135.0500  135.3200  133.1000  133.7100  1898587.47  
01-05 14:00    133.7100  135.5700  133.0900  134.9300  3162405.84  
01-05 15:00    134.9400  136.4700  134.0700  136.0800  1995288.70  
01-05 16:00    136.0800  136.2600  134.9200  135.3500  1102125.32  
01-05 17:00    135.3500  136.8300  134.2500  136.4800  1229521.33  
01-05 18:00    136.4900  137.5500  135.6400  137.3300  1265461.27  
01-05 19:00    137.3300  138.7800  137.0600  138.2000  1746409.04  
01-05 20:00    138.2000  139.8300  137.6900  137.8200  1696905.96  
01-05 21:00    137.8200  138.7100  137.8200  138.3400  685739.28   
01-05 22:00    138.3400  139.1300  138.2400  138.7500  514855.60   
01-05 23:00    138.7600  138.9100  137.8200  137.8400  494717.52   
01-06 00:00    137.8400  138.1500  136.8100  137.6600  804371.62   
01-06 01:00    137.6600  138.4700  137.2600  137.4900  1024842.80  
01-06 02:00    137.5000  137.9500  137.2400  137.5300  625718.00   
01-06 03:00    137.5400  138.5700  137.4900  138.3100  606583.61   
01-06 04:00    138.3200  138.9400  138.1300  138.3800  579628.79   
01-06 05:00    138.3700  140.0900  138.0000  139.5000  1841383.81  
01-06 06:00    139.5000  139.7300  138.7600  138.9600  898716.71   
01-06 07:00    138.9600  139.0400  137.2600  137.5100  1270971.48  
01-06 08:00    137.5200  138.0600  137.3100  137.5200  586394.41   
01-06 09:00    137.5200  138.3500  137.4200  137.7200  588551.78   
01-06 10:00    137.7200  138.0500  137.3000  137.6500  589279.41   
01-06 11:00    137.6600  139.6400  137.5500  139.4400  1422680.46  
01-06 12:00    139.4400  139.5900  138.8100  139.0100  742568.49   
01-06 13:00    139.0200  139.4300  138.6600  139.0400  870560.40   
01-06 14:00    139.0500  143.4500  139.0500  141.9600  5043069.15  
01-06 15:00    141.9500  143.1600  141.0600  141.5600  2421196.90  
01-06 16:00    141.5500  141.9300  138.0500  138.8600  2798240.99  
01-06 17:00    138.8500  139.1300  136.3300  136.4500  2596087.03  
01-06 18:00    136.4500  137.9400  136.1200  137.5000  1512433.81  
01-06 19:00    137.5000  138.0100  137.2100  137.4500  534809.17   
01-06 20:00    137.4500  139.1400  137.4200  138.8900  899236.91   
01-06 21:00    138.8900  141.9600  138.5700  140.1700  2052621.23  
01-06 22:00    140.1600  140.9500  139.4800  140.0000  790204.74   
01-06 23:00    139.9900  141.3400  139.9900  141.0300  662565.67   
01-07 00:00    141.0400  141.3500  139.7300  139.8100  858238.21   
01-07 01:00    139.8100  140.6200  138.7500  138.8400  954390.59   
01-07 02:00    138.8400  140.0700  138.3600  139.8900  1082112.08  
01-07 03:00    139.9000  140.5000  139.2900  139.5200  628128.56   
01-07 04:00    139.5200  139.6600  138.6500  138.7000  424610.39   
01-07 05:00    138.7000  139.2700  138.0600  138.4300  842478.14   
01-07 06:00    138.4300  139.0100  138.3900  138.7000  367604.47   
01-07 07:00    138.7000  139.3600  138.7000  139.3100  501270.95   
01-07 08:00    139.3100  139.7400  138.9600  139.3200  852116.30   
01-07 09:00    139.3200  139.4100  136.4200  136.7800  2649960.87  
01-07 10:00    136.7900  137.6200  136.6400  137.4800  792105.04   
01-07 11:00    137.4800  138.1400  137.4100  137.8400  534825.96   
01-07 12:00    137.8400  138.1300  137.5200  137.8500  552810.07   
01-07 13:00    137.8500  138.4400  137.4400  138.0400  783768.54   
01-07 14:00    138.0500  138.1500  136.5000  137.9700  1785505.49  
01-07 15:00    137.9800  138.0300  135.1700  135.6100  2662955.07  
01-07 16:00    135.6100  136.6000  135.2300  135.6200  926695.46   
01-07 17:00    135.6300  136.4000  135.3000  135.5000  755706.04   
01-07 18:00    135.5100  135.8400  134.5500  135.1900  1163264.51  
01-07 19:00    135.1800  135.9400  134.3300  135.6800  784618.60   
01-07 20:00    135.6800  135.9500  134.9300  135.7400  523542.92   
01-07 21:00    135.7400  136.2800  135.6200  136.1100  345282.22   
01-07 22:00    136.1000  136.7600  135.6800  136.4000  500618.92   
01-07 23:00    136.4000  137.0700  135.7800  136.3200  1006668.49  
01-08 00:00    136.3100  136.9100  135.9300  136.7600  476406.84   
01-08 01:00    136.7600  137.3500  136.6300  136.7600  455773.44   
01-08 02:00    136.7500  138.0000  136.5200  137.8800  1786694.47  
01-08 03:00    137.8900  138.3000  136.5100  136.6800  744987.13   
01-08 04:00    136.6800  138.2900  136.3600  137.6100  911118.79   
01-08 05:00    137.6100  138.0400  136.4400  136.5600  773659.29   
01-08 06:00    136.5700  136.7000  134.6300  134.7700  1648365.93  
01-08 07:00    134.7800  135.9200  133.6000  135.8100  1595475.12  
01-08 08:00    135.8200  136.1700  134.9700  135.0400  679887.50   
01-08 09:00    135.0500  135.4500  134.2600  134.4000  826395.57   
01-08 10:00    134.4000  135.3700  133.8500  135.0100  988297.59   
01-08 11:00    135.0100  135.2500  134.1900  134.7200  665341.10   
01-08 12:00    134.7100  134.7600  133.6300  134.0500  902551.33   
01-08 13:00    134.0500  134.5500  133.6500  134.4000  687869.39   
01-08 14:00    134.3900  134.4200  132.5000  133.9400  2734981.38  
01-08 15:00    133.9400  136.5000  133.3000  136.3300  2296469.33  
01-08 16:00    136.3200  138.1400  136.1500  138.1200  2082127.62  
01-08 17:00    138.1200  138.8000  137.1800  138.6800  1646657.53  
01-08 18:00    138.6800  139.0700  137.8500  138.0500  1114853.28  
01-08 19:00    138.0500  138.3700  137.1300  137.4800  823987.04   
01-08 20:00    137.4800  137.8100  136.4600  137.6300  995685.42   
01-08 21:00    137.6300  139.8000  137.6300  139.5600  1374201.33  
01-08 22:00    139.5500  140.0000  138.2500  138.7800  1956388.41  
01-08 23:00    138.7900  139.1300  138.1500  138.3000  845832.64   
01-09 00:00    138.2900  139.2500  138.2200  139.0400  540416.30   
01-09 01:00    139.0400  139.5400  137.6600  138.2200  1039815.77  
01-09 02:00    138.2200  139.4800  138.1300  138.9000  705300.21   
01-09 03:00    138.9100  141.1400  138.8500  140.7300  1517740.83  
01-09 04:00    140.7300  141.0100  139.5500  139.6800  814510.69   
01-09 05:00    139.6800  140.1000  139.3800  139.8900  568730.85   
01-09 06:00    139.8800  140.7800  139.5900  140.6200  550498.89   
01-09 07:00    140.6200  140.6600  139.4600  139.5100  745161.38   
01-09 08:00    139.5100  139.6300  136.9800  137.8900  2020383.88  
01-09 09:00    137.8900  139.0400  137.8300  138.4000  1102463.26  
01-09 10:00    138.4000  138.9500  138.0900  138.6700  481628.01   
01-09 11:00    138.6600  138.8500  138.0100  138.2400  596581.16   
01-09 12:00    138.2300  138.5800  137.5100  137.6500  566351.28   
01-09 13:00    137.6500  139.4700  137.5900  138.5700  1409925.35  
01-09 14:00    138.5700  138.5900  136.3800  136.8000  1804862.29  
01-09 15:00    136.8000  140.8500  136.1100  138.7500  4037602.33  
01-09 16:00    138.7600  140.2100  138.6400  139.8900  1399589.53  
01-09 17:00    139.8900  140.0200  137.2500  138.3700  1602910.72  
01-09 18:00    138.3700  138.4000  135.7000  136.7600  1616570.75  
01-09 19:00    136.7500  136.7500  135.3700  135.7100  924632.83   
01-09 20:00    135.7100  135.9900  134.8600  135.5100  1255471.76  
01-09 21:00    135.5100  136.3700  135.3200  135.9000  621599.18   
01-09 22:00    135.9000  136.1500  135.4700  136.0900  296771.82   
01-09 23:00    136.0900  136.4100  135.6700  135.8800  533741.09   
01-10 00:00    135.8900  136.0600  135.6000  135.8000  275511.57   
01-10 01:00    135.8000  136.4100  135.6800  136.3700  355134.75   
01-10 02:00    136.3700  136.6200  135.8200  136.3000  415886.45   
01-10 03:00    136.3000  136.3200  135.8300  136.0500  263970.91   
01-10 04:00    136.0500  136.1000  135.6600  135.7800  282351.33   
01-10 05:00    135.7800  136.2800  135.7100  135.8500  210605.57   
01-10 06:00    135.8500  136.1200  135.6800  135.9100  261410.71   
01-10 07:00    135.9000  136.1900  135.8700  136.0000  187244.11   
01-10 08:00    136.0100  136.2900  135.9100  136.1500  185578.57   
01-10 09:00    136.1400  136.5600  136.0100  136.5300  276748.69   
01-10 10:00    136.5400  136.9700  136.3000  136.9300  561358.67   
01-10 11:00    136.9300  136.9300  136.3000  136.5000  356549.80   
01-10 12:00    136.5100  136.9900  136.4700  136.5400  429633.60   
01-10 13:00    136.5400  136.5600  136.0000  136.2600  426325.01   
01-10 14:00    136.2600  136.4000  135.9300  136.0900  332140.71   
01-10 15:00    136.0900  136.4700  136.0000  136.3500  289433.54   
01-10 16:00    136.3600  136.5900  136.0900  136.3500  215589.52   
01-10 17:00    136.3500  136.6500  136.0600  136.0900  320979.59   
01-10 18:00    136.1000  136.2800  135.8400  136.1000  305916.52   
01-10 19:00    136.1000  136.2000  135.9200  136.1700  149631.02   
01-10 20:00    136.1700  136.2200  135.9300  136.0300  135556.00   
01-10 21:00    136.0300  136.0400  135.6600  135.7000  253473.80   
01-10 22:00    135.6900  135.8700  135.3000  135.5000  317829.01   
01-10 23:00    135.4900  136.0000  135.4300  135.7800  204833.27   
01-11 00:00    135.7900  136.3900  135.6800  136.3300  321123.15   
01-11 01:00    136.3400  136.4300  136.0300  136.2400  156634.43   
01-11 02:00    136.2300  136.4000  135.8900  135.9600  211085.30   
01-11 03:00    135.9600  136.2800  135.7900  136.2100  257792.25   
01-11 04:00    136.2100  136.3500  135.9200  136.1400  220587.79   
01-11 05:00    136.1400  136.3900  135.9400  136.2300  279257.46   
01-11 06:00    136.2300  136.3600  135.8300  136.1100  309408.69   
01-11 07:00    136.1000  136.2100  135.9200  136.1300  110418.12   
01-11 08:00    136.1300  136.8600  136.0400  136.7000  506538.95   
01-11 09:00    136.7000  136.7500  136.2700  136.3900  316383.76   
01-11 10:00    136.4000  136.6600  136.2000  136.4900  211338.49   
01-11 11:00    136.4800  136.7100  136.4100  136.4900  154882.18   
01-11 12:00    136.5000  137.2300  136.4300  137.0100  385230.32   
01-11 13:00    137.0000  137.2800  136.8600  137.1700  424666.46   
01-11 14:00    137.1800  139.4100  137.1600  139.1600  1417694.80  
01-11 15:00    139.1600  139.5000  137.7700  138.3800  1811912.05  
01-11 16:00    138.3800  141.6500  138.3800  139.9800  3274438.14  
01-11 17:00    139.9900  140.1700  138.6900  139.6400  962456.81   
01-11 18:00    139.6300  140.1800  139.0700  139.9800  525126.10   
01-11 19:00    139.9700  140.1200  139.0000  139.3900  639127.45   
01-11 20:00    139.3900  139.3900  137.9100  138.4900  1034283.89  
01-11 21:00    138.5000  138.9200  137.9300  138.6600  497658.44   
01-11 22:00    138.6500  138.6600  137.6200  138.1900  451142.32   
01-11 23:00    138.1800  139.7400  137.4700  139.6500  1148244.35  
01-12 00:00    139.6500  141.3300  138.8500  141.2700  1685320.92  
01-12 01:00    141.2600  141.9000  140.6300  141.0000  1751921.28  
01-12 02:00    141.0000  142.7300  140.8800  142.3700  1310396.48  
01-12 03:00    142.3800  144.4000  142.3500  142.4900  2355576.34  
01-12 04:00    142.4900  143.0400  142.3900  142.6800  752758.89   
01-12 05:00    142.6800  143.1800  142.4200  142.7400  461634.62   
01-12 06:00    142.7300  143.3200  141.8100  141.9600  864816.81   
01-12 07:00    141.9700  141.9700  141.9400  141.9500  621.44        <- current

EMA20: [134.2995, 134.2681, 134.2302, 134.2178, 134.2009, 134.3236, 134.5490, 134.7643, 134.9373, 135.0032, 135.0010, 135.0514, 135.0789, 135.0838, 135.1110, 135.1709, 135.2194, 135.2023, 135.0602, 135.0478, 135.1461, 135.1655, 135.2907, 135.4849, 135.7435, 135.9413, 136.1697, 136.4155, 136.5511, 136.6567, 136.7361, 136.8117, 136.9544, 137.0902, 137.3197, 137.4759, 137.4791, 137.4830, 137.5056, 137.5194, 137.7023, 137.8268, 137.9424, 138.3250, 138.6331, 138.6547, 138.4447, 138.3548, 138.2686, 138.3278, 138.5032, 138.6458, 138.8728, 138.9621, 138.9505, 139.0399, 139.0857, 139.0489, 138.9900, 138.9624, 138.9955, 139.0264, 138.8124, 138.6855, 138.6050, 138.5331, 138.4861, 138.4370, 138.1678, 137.9251, 137.6941, 137.4557, 137.2865, 137.1393, 137.0412, 136.9802, 136.9173, 136.9023, 136.8888, 136.9832, 136.9543, 137.0167, 136.9732, 136.7634, 136.6726, 136.5171, 136.3155, 136.1912, 136.0510, 135.8605, 135.7214, 135.5517, 135.6258, 135.8634, 136.1316, 136.3143, 136.4253, 136.5401, 136.8277, 137.0136, 137.1361, 137.3175, 137.4034, 137.5459, 137.8492, 138.0236, 138.2013, 138.4317, 138.5344, 138.4730, 138.4660, 138.4855, 138.4621, 138.3847, 138.4024, 138.2498, 138.2974, 138.4491, 138.4416, 138.2814, 138.0365, 137.7959, 137.6153, 137.4701, 137.3186, 137.1740, 137.0974, 137.0215, 136.9290, 136.8195, 136.7272, 136.6494, 136.5875, 136.5459, 136.5443, 136.5811, 136.5734, 136.5702, 136.5406, 136.4977, 136.4837, 136.4709, 136.4346, 136.4028, 136.3806, 136.3472, 136.2856, 136.2108, 136.1697, 136.1850, 136.1902, 136.1683, 136.1723, 136.1692, 136.1750, 136.1688, 136.1651, 136.2161, 136.2326, 136.2571, 136.2793, 136.3489, 136.4271, 136.6874, 136.8486, 137.1468, 137.3843, 137.6315, 137.7989, 137.8648, 137.9405, 137.9643, 138.1248, 138.4243, 138.6696, 139.0221, 139.3523, 139.6693, 139.9617, 140.1520, 140.3233]
EMA50: [135.3192, 135.4059, 135.5198, 135.6319, 135.7836, 135.9082, 135.9710, 136.0318, 136.0980, 136.1588, 136.2875, 136.3943, 136.4980, 136.7122, 136.9023, 136.9791, 136.9583, 136.9796, 136.9980, 137.0722, 137.1937, 137.3038, 137.4499, 137.5424, 137.5933, 137.6834, 137.7554, 137.7925, 137.8175, 137.8521, 137.9092, 137.9646, 137.9181, 137.9009, 137.8985, 137.8966, 137.9023, 137.9049, 137.8149, 137.7288, 137.6414, 137.5453, 137.4722, 137.4042, 137.3535, 137.3161, 137.2770, 137.2567, 137.2373, 137.2625, 137.2396, 137.2542, 137.2269, 137.1306, 137.0788, 136.9988, 136.8969, 136.8229, 136.7405, 136.6350, 136.5473, 136.4451, 136.4405, 136.5064, 136.5916, 136.6488, 136.6814, 136.7186, 136.8301, 136.9065, 136.9612, 137.0427, 137.0889, 137.1599, 137.2999, 137.3932, 137.4911, 137.6138, 137.6882, 137.6961, 137.7237, 137.7608, 137.7796, 137.7745, 137.8057, 137.7663, 137.8049, 137.8866, 137.9056, 137.8607, 137.7763, 137.6875, 137.6174, 137.5575, 137.4917, 137.4253, 137.3840, 137.3414, 137.2908, 137.2316, 137.1774, 137.1277, 137.0834, 137.0468, 137.0266, 137.0228, 137.0023, 136.9842, 136.9558, 136.9218, 136.8994, 136.8778, 136.8469, 136.8177, 136.7923, 136.7624, 136.7207, 136.6728, 136.6378, 136.6257, 136.6106, 136.5851, 136.5704, 136.5535, 136.5408, 136.5239, 136.5085, 136.5160, 136.5111, 136.5102, 136.5094, 136.5291, 136.5542, 136.6564, 136.7240, 136.8517, 136.9610, 137.0794, 137.1700, 137.2218, 137.2782, 137.3139, 137.4056, 137.5571, 137.6921, 137.8756, 138.0565, 138.2378, 138.4144, 138.5534, 138.6866]
